plot,Date,Recorder,Observer,Quadrant,Zone,Litt.depth,month,conmod,disturbed,seeded,wateredJul2012 
608,10/26/14,SM,SF,E,Inner,0.5,10,Fence,TRUE,TRUE,TRUE
608,10/26/14,SM,SF,E,Outer,0,10,Fence,TRUE,TRUE,TRUE
608,10/26/14,SM,SF,S,Inner,1.5,10,Fence,TRUE,TRUE,TRUE
608,10/26/14,SM,SF,S,Outer,1,10,Fence,TRUE,TRUE,TRUE
608,10/26/14,SM,SF,W,Inner,3,10,Fence,TRUE,TRUE,TRUE
608,10/26/14,SM,SF,W,Outer,1,10,Fence,TRUE,TRUE,TRUE
608,6/18/14,CD,HR,N,Inner,3,6,Fence,TRUE,TRUE,TRUE
608,6/18/14,CD,HR,N,Outer,0.5,6,Fence,TRUE,TRUE,TRUE
608,6/18/14,CD,HR,E,Inner,0.5,6,Fence,TRUE,TRUE,TRUE
608,6/18/14,CD,HR,E,Outer,0,6,Fence,TRUE,TRUE,TRUE
608,6/18/14,CD,HR,S,Inner,10,6,Fence,TRUE,TRUE,TRUE
608,6/18/14,CD,HR,S,Outer,5,6,Fence,TRUE,TRUE,TRUE
608,6/18/14,CD,HR,W,Inner,9,6,Fence,TRUE,TRUE,TRUE
608,6/18/14,CD,HR,W,Outer,4,6,Fence,TRUE,TRUE,TRUE
609,10/26/14,SM,SF,N,Inner,0,10,Bare,FALSE,TRUE,FALSE
609,10/26/14,SM,SF,N,Outer,0.1,10,Bare,FALSE,TRUE,FALSE
609,10/26/14,SM,SF,E,Inner,0,10,Bare,FALSE,TRUE,FALSE
609,10/26/14,SM,SF,E,Outer,0,10,Bare,FALSE,TRUE,FALSE
609,10/26/14,SM,SF,S,Inner,0.1,10,Bare,FALSE,TRUE,FALSE
609,10/26/14,SM,SF,S,Outer,0.1,10,Bare,FALSE,TRUE,FALSE
609,10/26/14,SM,SF,W,Inner,0,10,Bare,FALSE,TRUE,FALSE
609,10/26/14,SM,SF,W,Outer,0.1,10,Bare,FALSE,TRUE,FALSE
609,6/18/14,CD,HR,N,Inner,0,6,Bare,FALSE,TRUE,FALSE
609,6/18/14,CD,HR,N,Outer,0,6,Bare,FALSE,TRUE,FALSE
609,6/18/14,CD,HR,E,Inner,0,6,Bare,FALSE,TRUE,FALSE
609,6/18/14,CD,HR,E,Outer,0,6,Bare,FALSE,TRUE,FALSE
609,6/18/14,CD,HR,S,Inner,0,6,Bare,FALSE,TRUE,FALSE
609,6/18/14,CD,HR,S,Outer,0,6,Bare,FALSE,TRUE,FALSE
609,6/18/14,CD,HR,W,Inner,0,6,Bare,FALSE,TRUE,FALSE
609,6/18/14,CD,HR,W,Outer,0,6,Bare,FALSE,TRUE,FALSE
610,10/26/14,SM,SF,N,Inner,1.5,10,Fence,TRUE,FALSE,FALSE
610,10/26/14,SM,SF,N,Outer,0.1,10,Fence,TRUE,FALSE,FALSE
610,10/26/14,SM,SF,E,Inner,0.5,10,Fence,TRUE,FALSE,FALSE
610,10/26/14,SM,SF,E,Outer,0.1,10,Fence,TRUE,FALSE,FALSE
610,10/26/14,SM,SF,S,Inner,2,10,Fence,TRUE,FALSE,FALSE
610,10/26/14,SM,SF,S,Outer,0.5,10,Fence,TRUE,FALSE,FALSE
610,10/26/14,SM,SF,W,Inner,3,10,Fence,TRUE,FALSE,FALSE
610,10/26/14,SM,SF,W,Outer,1,10,Fence,TRUE,FALSE,FALSE
610,6/18/14,CD,HR,N,Inner,2,6,Fence,TRUE,FALSE,FALSE
610,6/18/14,CD,HR,N,Outer,0.5,6,Fence,TRUE,FALSE,FALSE
610,6/18/14,CD,HR,E,Inner,1,6,Fence,TRUE,FALSE,FALSE
610,6/18/14,CD,HR,E,Outer,0.5,6,Fence,TRUE,FALSE,FALSE
610,6/18/14,CD,HR,S,Inner,6,6,Fence,TRUE,FALSE,FALSE
610,6/18/14,CD,HR,S,Outer,1,6,Fence,TRUE,FALSE,FALSE
610,6/18/14,CD,HR,W,Inner,9,6,Fence,TRUE,FALSE,FALSE
610,6/18/14,CD,HR,W,Outer,4,6,Fence,TRUE,FALSE,FALSE
611,10/26/14,SM,SF,N,Inner,0.1,10,Bare,FALSE,TRUE,TRUE
611,10/26/14,SM,SF,N,Outer,0.1,10,Bare,FALSE,TRUE,TRUE
611,10/26/14,SM,SF,E,Inner,0,10,Bare,FALSE,TRUE,TRUE
611,10/26/14,SM,SF,E,Outer,0,10,Bare,FALSE,TRUE,TRUE
611,10/26/14,SM,SF,S,Inner,0,10,Bare,FALSE,TRUE,TRUE
611,10/26/14,SM,SF,S,Outer,0.1,10,Bare,FALSE,TRUE,TRUE
611,10/26/14,SM,SF,W,Inner,0.1,10,Bare,FALSE,TRUE,TRUE
611,10/26/14,SM,SF,W,Outer,0.1,10,Bare,FALSE,TRUE,TRUE
611,6/18/14,CD,HR,N,Inner,0,6,Bare,FALSE,TRUE,TRUE
611,6/18/14,CD,HR,N,Outer,0,6,Bare,FALSE,TRUE,TRUE
611,6/18/14,CD,HR,E,Inner,0,6,Bare,FALSE,TRUE,TRUE
611,6/18/14,CD,HR,E,Outer,0,6,Bare,FALSE,TRUE,TRUE
611,6/18/14,CD,HR,S,Inner,0,6,Bare,FALSE,TRUE,TRUE
611,6/18/14,CD,HR,S,Outer,0,6,Bare,FALSE,TRUE,TRUE
611,6/18/14,CD,HR,W,Inner,0,6,Bare,FALSE,TRUE,TRUE
611,6/18/14,CD,HR,W,Outer,0,6,Bare,FALSE,TRUE,TRUE
612,10/26/14,SM,SF,N,Inner,0,10,Bare,FALSE,FALSE,TRUE
612,10/26/14,SM,SF,N,Outer,0,10,Bare,FALSE,FALSE,TRUE
612,10/26/14,SM,SF,E,Inner,0,10,Bare,FALSE,FALSE,TRUE
612,10/26/14,SM,SF,E,Outer,0,10,Bare,FALSE,FALSE,TRUE
612,10/26/14,SM,SF,S,Inner,0,10,Bare,FALSE,FALSE,TRUE
612,10/26/14,SM,SF,S,Outer,0,10,Bare,FALSE,FALSE,TRUE
612,10/26/14,SM,SF,W,Inner,0,10,Bare,FALSE,FALSE,TRUE
612,10/26/14,SM,SF,W,Outer,0.1,10,Bare,FALSE,FALSE,TRUE
612,6/18/14,CD,HR,N,Inner,0,6,Bare,FALSE,FALSE,TRUE
612,6/18/14,CD,HR,N,Outer,0,6,Bare,FALSE,FALSE,TRUE
612,6/18/14,CD,HR,E,Inner,0,6,Bare,FALSE,FALSE,TRUE
612,6/18/14,CD,HR,E,Outer,0,6,Bare,FALSE,FALSE,TRUE
612,6/18/14,CD,HR,S,Inner,0,6,Bare,FALSE,FALSE,TRUE
612,6/18/14,CD,HR,S,Outer,0,6,Bare,FALSE,FALSE,TRUE
612,6/18/14,CD,HR,W,Inner,0,6,Bare,FALSE,FALSE,TRUE
612,6/18/14,CD,HR,W,Outer,0,6,Bare,FALSE,FALSE,TRUE
613,10/26/14,SM,SF,N,Inner,0,10,Bare,TRUE,TRUE,TRUE
613,10/26/14,SM,SF,N,Outer,0.1,10,Bare,TRUE,TRUE,TRUE
613,10/26/14,SM,SF,E,Inner,0,10,Bare,TRUE,TRUE,TRUE
613,10/26/14,SM,SF,E,Outer,0,10,Bare,TRUE,TRUE,TRUE
613,10/26/14,SM,SF,S,Inner,0,10,Bare,TRUE,TRUE,TRUE
613,10/26/14,SM,SF,S,Outer,0.1,10,Bare,TRUE,TRUE,TRUE
613,10/26/14,SM,SF,W,Inner,0,10,Bare,TRUE,TRUE,TRUE
613,10/26/14,SM,SF,W,Outer,0.1,10,Bare,TRUE,TRUE,TRUE
613,6/18/14,CD,HR,N,Inner,0,6,Bare,TRUE,TRUE,TRUE
613,6/18/14,CD,HR,N,Outer,0,6,Bare,TRUE,TRUE,TRUE
613,6/18/14,CD,HR,E,Inner,0,6,Bare,TRUE,TRUE,TRUE
613,6/18/14,CD,HR,E,Outer,0,6,Bare,TRUE,TRUE,TRUE
613,6/18/14,CD,HR,S,Inner,0,6,Bare,TRUE,TRUE,TRUE
613,6/18/14,CD,HR,S,Outer,0,6,Bare,TRUE,TRUE,TRUE
613,6/18/14,CD,HR,W,Inner,0,6,Bare,TRUE,TRUE,TRUE
613,6/18/14,CD,HR,W,Outer,0,6,Bare,TRUE,TRUE,TRUE
614,10/26/14,SM,SF,N,Inner,1,10,Fence,TRUE,FALSE,TRUE
614,10/26/14,SM,SF,N,Outer,0.1,10,Fence,TRUE,FALSE,TRUE
614,10/26/14,SM,SF,E,Inner,0.1,10,Fence,TRUE,FALSE,TRUE
614,10/26/14,SM,SF,E,Outer,0.1,10,Fence,TRUE,FALSE,TRUE
614,10/26/14,SM,SF,S,Inner,2,10,Fence,TRUE,FALSE,TRUE
614,10/26/14,SM,SF,S,Outer,0.5,10,Fence,TRUE,FALSE,TRUE
614,10/26/14,SM,SF,W,Inner,3,10,Fence,TRUE,FALSE,TRUE
614,10/26/14,SM,SF,W,Outer,1,10,Fence,TRUE,FALSE,TRUE
614,6/18/14,CD,HR,N,Inner,4,6,Fence,TRUE,FALSE,TRUE
614,6/18/14,CD,HR,N,Outer,0.5,6,Fence,TRUE,FALSE,TRUE
614,6/18/14,CD,HR,E,Inner,1,6,Fence,TRUE,FALSE,TRUE
614,6/18/14,CD,HR,E,Outer,1,6,Fence,TRUE,FALSE,TRUE
614,6/18/14,CD,HR,S,Inner,5,6,Fence,TRUE,FALSE,TRUE
614,6/18/14,CD,HR,S,Outer,1,6,Fence,TRUE,FALSE,TRUE
614,6/18/14,CD,HR,W,Inner,8,6,Fence,TRUE,FALSE,TRUE
614,6/18/14,CD,HR,W,Outer,3,6,Fence,TRUE,FALSE,TRUE
615,10/26/14,SM,SF,N,Inner,1,10,Fence,FALSE,FALSE,FALSE
615,10/26/14,SM,SF,N,Outer,0.5,10,Fence,FALSE,FALSE,FALSE
615,10/26/14,SM,SF,E,Inner,0.1,10,Fence,FALSE,FALSE,FALSE
615,10/26/14,SM,SF,E,Outer,0.1,10,Fence,FALSE,FALSE,FALSE
615,10/26/14,SM,SF,S,Inner,2,10,Fence,FALSE,FALSE,FALSE
615,10/26/14,SM,SF,S,Outer,0.5,10,Fence,FALSE,FALSE,FALSE
615,10/26/14,SM,SF,W,Inner,2.5,10,Fence,FALSE,FALSE,FALSE
615,10/26/14,SM,SF,W,Outer,1,10,Fence,FALSE,FALSE,FALSE
615,6/18/14,CD,HR,N,Inner,3,6,Fence,FALSE,FALSE,FALSE
615,6/18/14,CD,HR,N,Outer,1,6,Fence,FALSE,FALSE,FALSE
615,6/18/14,CD,HR,E,Inner,1,6,Fence,FALSE,FALSE,FALSE
615,6/18/14,CD,HR,E,Outer,0.5,6,Fence,FALSE,FALSE,FALSE
615,6/18/14,CD,HR,S,Inner,6,6,Fence,FALSE,FALSE,FALSE
615,6/18/14,CD,HR,S,Outer,2,6,Fence,FALSE,FALSE,FALSE
615,6/18/14,CD,HR,W,Inner,7,6,Fence,FALSE,FALSE,FALSE
615,6/18/14,CD,HR,W,Outer,3,6,Fence,FALSE,FALSE,FALSE
616,10/26/14,SM,SF,N,Inner,1,10,Fence,FALSE,TRUE,FALSE
616,10/26/14,SM,SF,N,Outer,0.1,10,Fence,FALSE,TRUE,FALSE
616,10/26/14,SM,SF,E,Inner,0.1,10,Fence,FALSE,TRUE,FALSE
616,10/26/14,SM,SF,E,Outer,0,10,Fence,FALSE,TRUE,FALSE
616,10/26/14,SM,SF,S,Inner,2,10,Fence,FALSE,TRUE,FALSE
616,10/26/14,SM,SF,S,Outer,0.5,10,Fence,FALSE,TRUE,FALSE
616,10/26/14,SM,SF,W,Inner,2.5,10,Fence,FALSE,TRUE,FALSE
616,10/26/14,SM,SF,W,Outer,1,10,Fence,FALSE,TRUE,FALSE
616,6/18/14,CD,HR,N,Inner,2,6,Fence,FALSE,TRUE,FALSE
616,6/18/14,CD,HR,N,Outer,0.5,6,Fence,FALSE,TRUE,FALSE
616,6/18/14,CD,HR,E,Inner,0.5,6,Fence,FALSE,TRUE,FALSE
616,6/18/14,CD,HR,E,Outer,0,6,Fence,FALSE,TRUE,FALSE
616,6/18/14,CD,HR,S,Inner,9,6,Fence,FALSE,TRUE,FALSE
616,6/18/14,CD,HR,S,Outer,3,6,Fence,FALSE,TRUE,FALSE
616,6/18/14,CD,HR,W,Inner,8,6,Fence,FALSE,TRUE,FALSE
616,6/18/14,CD,HR,W,Outer,3,6,Fence,FALSE,TRUE,FALSE
617,10/26/14,SM,SF,N,Inner,1.5,10,Fence,TRUE,TRUE,FALSE
617,10/26/14,SM,SF,N,Outer,0.5,10,Fence,TRUE,TRUE,FALSE
617,10/26/14,SM,SF,E,Inner,0.1,10,Fence,TRUE,TRUE,FALSE
617,10/26/14,SM,SF,E,Outer,0.1,10,Fence,TRUE,TRUE,FALSE
617,10/26/14,SM,SF,S,Inner,1,10,Fence,TRUE,TRUE,FALSE
617,10/26/14,SM,SF,S,Outer,1,10,Fence,TRUE,TRUE,FALSE
617,10/26/14,SM,SF,W,Inner,2.5,10,Fence,TRUE,TRUE,FALSE
617,10/26/14,SM,SF,W,Outer,1,10,Fence,TRUE,TRUE,FALSE
617,6/18/14,CD,HR,N,Inner,6,6,Fence,TRUE,TRUE,FALSE
617,6/18/14,CD,HR,N,Outer,1,6,Fence,TRUE,TRUE,FALSE
617,6/18/14,CD,HR,E,Inner,0.5,6,Fence,TRUE,TRUE,FALSE
617,6/18/14,CD,HR,E,Outer,0.5,6,Fence,TRUE,TRUE,FALSE
617,6/18/14,CD,HR,S,Inner,4,6,Fence,TRUE,TRUE,FALSE
617,6/18/14,CD,HR,S,Outer,2,6,Fence,TRUE,TRUE,FALSE
617,6/18/14,CD,HR,W,Inner,10,6,Fence,TRUE,TRUE,FALSE
617,6/18/14,CD,HR,W,Outer,4,6,Fence,TRUE,TRUE,FALSE
618,10/26/14,SM,SF,N,Inner,0,10,Salsola,FALSE,TRUE,FALSE
618,10/26/14,SM,SF,N,Outer,0.1,10,Salsola,FALSE,TRUE,FALSE
618,10/26/14,SM,SF,E,Inner,0,10,Salsola,FALSE,TRUE,FALSE
618,10/26/14,SM,SF,E,Outer,0.1,10,Salsola,FALSE,TRUE,FALSE
618,10/26/14,SM,SF,S,Inner,0,10,Salsola,FALSE,TRUE,FALSE
618,10/26/14,SM,SF,S,Outer,0,10,Salsola,FALSE,TRUE,FALSE
618,10/26/14,SM,SF,W,Inner,0,10,Salsola,FALSE,TRUE,FALSE
618,10/26/14,SM,SF,W,Outer,0,10,Salsola,FALSE,TRUE,FALSE
618,6/18/14,CD,HR,N,Inner,0,6,Salsola,FALSE,TRUE,FALSE
618,6/18/14,CD,HR,N,Outer,0,6,Salsola,FALSE,TRUE,FALSE
618,6/18/14,CD,HR,E,Inner,0,6,Salsola,FALSE,TRUE,FALSE
618,6/18/14,CD,HR,E,Outer,0,6,Salsola,FALSE,TRUE,FALSE
618,6/18/14,CD,HR,S,Inner,0,6,Salsola,FALSE,TRUE,FALSE
618,6/18/14,CD,HR,S,Outer,0,6,Salsola,FALSE,TRUE,FALSE
618,6/18/14,CD,HR,W,Inner,0,6,Salsola,FALSE,TRUE,FALSE
618,6/18/14,CD,HR,W,Outer,0,6,Salsola,FALSE,TRUE,FALSE
619,10/26/14,SM,SF,N,Inner,0,10,Salsola,FALSE,FALSE,TRUE
619,10/26/14,SM,SF,N,Outer,0,10,Salsola,FALSE,FALSE,TRUE
619,10/26/14,SM,SF,E,Inner,0.1,10,Salsola,FALSE,FALSE,TRUE
619,10/26/14,SM,SF,E,Outer,0,10,Salsola,FALSE,FALSE,TRUE
619,10/26/14,SM,SF,S,Inner,0.1,10,Salsola,FALSE,FALSE,TRUE
619,10/26/14,SM,SF,S,Outer,0,10,Salsola,FALSE,FALSE,TRUE
619,10/26/14,SM,SF,W,Inner,0,10,Salsola,FALSE,FALSE,TRUE
619,10/26/14,SM,SF,W,Outer,0,10,Salsola,FALSE,FALSE,TRUE
619,6/18/14,CD,HR,N,Inner,0,6,Salsola,FALSE,FALSE,TRUE
619,6/18/14,CD,HR,N,Outer,0,6,Salsola,FALSE,FALSE,TRUE
619,6/18/14,CD,HR,E,Inner,0,6,Salsola,FALSE,FALSE,TRUE
619,6/18/14,CD,HR,E,Outer,0,6,Salsola,FALSE,FALSE,TRUE
619,6/18/14,CD,HR,S,Inner,0,6,Salsola,FALSE,FALSE,TRUE
619,6/18/14,CD,HR,S,Outer,0,6,Salsola,FALSE,FALSE,TRUE
619,6/18/14,CD,HR,W,Inner,0,6,Salsola,FALSE,FALSE,TRUE
619,6/18/14,CD,HR,W,Outer,0,6,Salsola,FALSE,FALSE,TRUE
620,10/26/14,SM,SF,N,Inner,0,10,Salsola,FALSE,FALSE,FALSE
620,10/26/14,SM,SF,N,Outer,0,10,Salsola,FALSE,FALSE,FALSE
620,10/26/14,SM,SF,E,Inner,0,10,Salsola,FALSE,FALSE,FALSE
620,10/26/14,SM,SF,E,Outer,0,10,Salsola,FALSE,FALSE,FALSE
620,10/26/14,SM,SF,S,Inner,0,10,Salsola,FALSE,FALSE,FALSE
620,10/26/14,SM,SF,S,Outer,0,10,Salsola,FALSE,FALSE,FALSE
620,10/26/14,SM,SF,W,Inner,0,10,Salsola,FALSE,FALSE,FALSE
620,10/26/14,SM,SF,W,Outer,0,10,Salsola,FALSE,FALSE,FALSE
620,6/18/14,CD,HR,N,Inner,0,6,Salsola,FALSE,FALSE,FALSE
620,6/18/14,CD,HR,N,Outer,0,6,Salsola,FALSE,FALSE,FALSE
620,6/18/14,CD,HR,E,Inner,0,6,Salsola,FALSE,FALSE,FALSE
620,6/18/14,CD,HR,E,Outer,0,6,Salsola,FALSE,FALSE,FALSE
620,6/18/14,CD,HR,S,Inner,0,6,Salsola,FALSE,FALSE,FALSE
